Buy Date,Buy Price,Buy Qty
2018-12-31,3104.25,1
2019-01-04,2987.85,1
2019-02-19,2636.85,1
2019-03-14,2751.7,1
2019-04-23,2638.05,1
2019-05-08,2499.7,1
2019-06-14,2670.3,1
2019-08-29,2547.75,1
2019-10-11,2597.85,1
2019-11-11,2594.0,1
2019-12-02,2406.95,1
2020-01-02,2429.45,1
2020-02-17,2283.35,1
2020-03-02,1975.45,1
2020-04-16,1782.65,1
2021-04-12,2786.1,1
2021-06-30,2902.6,1
2021-07-08,2900.4,1
2021-08-11,2781.6,1
2021-10-06,2798.15,1
2021-11-22,2634.6,1
2021-12-01,2448.2,1
2022-03-04,2311.3,1
2022-04-13,2274.4,1
2022-10-10,2570.5,1
2023-02-09,2559.2,1
2023-03-27,2308.6,1
