Buy Date,Buy Price,Buy Qty
2018-11-19,111.57,31
2019-01-30,107.2,32
2019-02-11,109.47,31
2019-06-10,102.42,34
2019-07-09,98.07,35
2019-08-01,85.73,40
2019-10-03,87.8,39
2019-11-08,84.7,41
2019-12-09,77.47,45
2020-01-28,84.1,41
2020-02-03,76.33,45
2020-03-12,53.3,65
2020-04-21,55.0,63
2020-06-11,63.7,54
2020-07-08,68.47,51
2020-08-04,62.1,56
2020-09-09,60.7,57
2020-10-08,56.1,62
2021-11-30,86.53,40
2021-12-17,86.33,40
2022-08-05,88.6,39
2022-09-09,92.4,37
2022-10-17,85.05,41
2022-11-03,90.55,38
