Buy Date,Buy Price,Buy Qty
2020-06-30,1372.1,2
2020-07-01,1370.75,2
2020-08-05,1315.05,2
2022-05-09,2199.45,1
2022-06-07,2133.3,1
2023-01-17,2437.45,1
2023-03-27,2352.05,1
2023-10-04,2406.4,1
2023-11-13,2428.6,1
